Timestamp,Humidity,Temperature,Heat Index
13-10-2024 09:59,41.38,23.48,44.17
15-11-2024 05:06,62.18,23.53,54.62
18-10-2024 11:11,74.97,31.63,69.11
24-11-2024 01:56,83.54,21.94,63.71
21-09-2024 13:06,54.48,23.32,50.56
27-11-2024 13:24,77.18,20.96,59.55
30-11-2024 20:57,87.55,33.82,77.6
11-09-2024 08:48,88.13,22.07,66.13
29-11-2024 03:22,63.06,26.67,58.2
01-10-2024 18:16,52.02,33,59.01
01-09-2024 12:25,58.97,21.9,51.38
13-11-2024 11:03,76.97,29.74,68.22
16-09-2024 05:48,50.39,29.3,54.5
16-10-2024 04:25,63.17,36.33,67.91
18-10-2024 21:55,74,33.13,70.13
26-09-2024 11:26,66.42,22.57,55.78
05-11-2024 17:49,89.07,23.46,68
26-09-2024 02:38,58.49,37.02,66.26
20-10-2024 19:35,56.49,24.52,52.76
30-11-2024 10:02,62.64,22.67,53.99
26-09-2024 06:55,48.74,38.78,63.15
03-10-2024 01:51,54.37,21.84,49.02
25-10-2024 14:26,49.6,31.4,56.2
19-09-2024 07:23,68.63,34.09,68.4
18-11-2024 04:14,65.17,24.02,56.6
30-10-2024 15:59,65.88,35.31,68.25
25-10-2024 00:47,60.52,29.04,59.3
02-11-2024 16:03,53.01,26.03,52.54
10-09-2024 17:24,49.27,36.17,60.81
01-11-2024 18:38,69.91,30.01,64.96
22-10-2024 11:54,42.04,32.85,53.87
04-09-2024 01:23,59.44,29.65,59.37
08-10-2024 15:06,88.87,35.72,80.16
25-09-2024 18:53,43.18,36.84,58.43
03-10-2024 10:18,49.15,20.96,45.54
21-10-2024 00:50,50.09,31.65,56.7
09-11-2024 00:04,47.32,22.03,45.69
09-10-2024 15:46,63.31,25.08,56.74
22-09-2024 12:21,72.13,34.52,70.59
16-09-2024 01:20,54.64,38.89,66.21
05-09-2024 00:43,72.04,27.86,63.88
05-11-2024 17:44,59.84,24.27,54.19
08-09-2024 00:32,86.31,26.69,69.84
18-09-2024 03:22,68.18,30.62,64.71
17-10-2024 20:06,42.9,29.65,51.1
12-11-2024 06:55,43.61,35.93,57.74
09-10-2024 22:11,77.01,35.23,73.74
16-11-2024 05:50,73.88,23.42,60.36
01-09-2024 20:55,57.21,27.14,55.74
06-09-2024 07:40,76.58,39.98,78.27
09-10-2024 11:52,84.63,34.35,76.66
04-09-2024 21:16,63.09,34.6,66.15
05-10-2024 14:07,49.75,29.49,54.36
28-10-2024 07:43,88.05,35.58,79.6
31-10-2024 22:06,78.06,39.77,78.8
22-09-2024 22:29,64.04,22.28,54.3
15-10-2024 08:16,73.75,38.06,74.94
08-11-2024 14:15,70.45,22.15,57.38
18-09-2024 01:42,46.11,31.1,54.16
23-11-2024 12:23,60.12,30.08,60.14
05-09-2024 16:58,69.28,20.42,55.06
27-10-2024 18:11,45.15,22.47,45.04
14-10-2024 17:14,74.87,28.94,66.38
16-09-2024 10:18,62.36,25.09,56.27
08-10-2024 16:53,88.23,37.39,81.5
24-09-2024 22:16,61.68,23.17,54.01
16-10-2024 06:46,88.31,36.32,80.47
12-09-2024 16:28,60.24,23.55,53.67
18-10-2024 16:27,78.2,36.89,75.99
15-10-2024 21:44,87.79,31.51,75.4
22-11-2024 06:40,59.13,22.74,52.3
14-09-2024 10:44,86.34,29.87,73.04
13-11-2024 19:31,47.88,27.13,51.07
04-09-2024 22:02,47.58,31.24,55.03
17-09-2024 10:44,70.6,29.54,64.84
02-10-2024 00:18,56.5,23.29,51.54
29-11-2024 07:59,60.37,32.6,62.78
21-09-2024 04:42,55.31,26.85,54.5
13-11-2024 15:03,49.98,23.26,48.25
26-11-2024 08:26,63.95,38.84,70.82
04-11-2024 20:52,42.08,23.45,44.49
